Episode,TotalReward
1,16
2,-7
3,1
4,14
5,15
6,6
7,-18
8,10
9,-14
10,-11
11,-10
12,19
13,-8
14,15
15,6
16,11
17,5
18,16
19,-22
20,-6
21,-23
22,13
23,-28
24,-6
25,5
26,14
27,-7
28,-4
29,1
30,-13
31,-10
32,-7
33,22
34,13
35,2
36,-15
37,2
38,14
39,14
40,-4
41,-21
42,11
43,24
44,0
45,18
46,7
47,-3
48,9
49,14
50,-1
51,19
52,0
53,-17
54,9
55,10
56,-28
57,-4
58,18
59,35
60,7
61,3
62,22
63,12
64,-25
65,15
66,14
67,10
68,11
69,13
70,7
71,-11
72,-1
73,20
74,-2
75,-19
76,-6
77,-23
78,16
79,-11
80,14
81,17
82,9
83,-28
84,1
85,25
86,5
87,-2
88,1
89,12
90,7
91,14
92,-6
93,13
94,-23
95,20
96,-24
97,12
98,1
99,16
100,-2
101,-8
102,-24
103,4
104,7
105,-27
106,10
107,8
108,9
109,0
110,-12
111,16
112,-1
113,-6
114,11
115,2
116,7
117,-19
118,21
119,13
120,-10
121,-7
122,-11
123,-8
124,1
125,16
126,-40
127,1
128,10
129,12
130,-13
131,6
132,-7
133,0
134,-18
135,6
136,5
137,-46
138,0
139,7
140,3
141,13
142,7
143,9
144,-10
145,16
146,10
147,15
148,-17
149,-31
150,-15
151,11
152,-25
153,-2
154,-9
155,-10
156,8
157,-16
158,0
159,-8
160,20
161,15
162,3
163,-27
164,4
165,-17
166,-1
167,-14
168,7
169,4
170,-18
171,15
172,-21
173,22
174,3
175,4
176,-4
177,-14
178,12
179,9
180,-14
181,7
182,11
183,20
184,-6
185,-28
186,14
187,5
188,-16
189,14
190,3
191,10
192,-12
193,13
194,1
195,6
196,-5
197,14
198,-47
199,-17
200,16
201,-22
202,9
203,11
204,16
205,9
206,0
207,13
208,1
209,-1
210,0
211,4
212,3
213,12
214,-54
215,8
216,-8
217,17
218,7
219,-11
220,8
221,17
222,-35
223,3
224,9
225,-27
226,-15
227,14
228,5
229,-27
230,23
231,-17
232,22
233,10
234,-9
235,-23
236,-1
237,-5
238,0
239,-33
240,19
241,1
242,9
243,3
244,2
245,-15
246,20
247,5
248,11
249,-6
250,-5
251,25
252,-9
253,11
254,5
255,-15
256,-35
257,24
258,2
259,-5
260,30
261,16
262,-1
263,1
264,28
265,-18
266,-5
267,-1
268,25
269,-2
270,25
271,-2
