game_count,p1,p1_score,p2,p2_score
1,dqn,37,greedy,17
2,dqn,45,greedy,18
3,dqn,25,greedy,20
4,dqn,54,greedy,20
5,dqn,54,greedy,21
6,dqn,58,greedy,22
7,dqn,52,greedy,18
8,dqn,39,greedy,18
9,dqn,34,greedy,23
10,dqn,29,greedy,20
11,dqn,29,greedy,18
12,dqn,53,greedy,24
13,dqn,50,greedy,14
14,dqn,38,greedy,27
15,dqn,46,greedy,14
16,dqn,53,greedy,21
17,dqn,53,greedy,24
18,dqn,38,greedy,23
19,dqn,20,greedy,21
20,dqn,52,greedy,20
21,dqn,43,greedy,16
22,dqn,55,greedy,13
23,dqn,46,greedy,17
24,dqn,46,greedy,22
25,dqn,39,greedy,27
26,dqn,23,greedy,28
27,dqn,47,greedy,19
28,dqn,35,greedy,19
29,dqn,24,greedy,17
30,dqn,20,greedy,21
31,dqn,45,greedy,17
32,dqn,27,greedy,23
33,dqn,48,greedy,13
34,dqn,57,greedy,22
35,dqn,28,greedy,25
36,dqn,34,greedy,24
37,dqn,46,greedy,21
38,dqn,38,greedy,19
39,dqn,36,greedy,17
40,dqn,45,greedy,11
41,dqn,44,greedy,26
42,dqn,48,greedy,14
43,dqn,24,greedy,26
44,dqn,51,greedy,17
45,dqn,29,greedy,21
46,dqn,42,greedy,18
47,dqn,33,greedy,22
48,dqn,55,greedy,23
49,dqn,38,greedy,26
50,dqn,32,greedy,18
51,dqn,69,greedy,13
52,dqn,38,greedy,23
53,dqn,53,greedy,17
54,dqn,23,greedy,18
55,dqn,15,greedy,25
56,dqn,38,greedy,22
57,dqn,57,greedy,20
58,dqn,52,greedy,12
59,dqn,54,greedy,16
60,dqn,48,greedy,23
61,dqn,55,greedy,12
62,dqn,52,greedy,21
63,dqn,36,greedy,24
64,dqn,54,greedy,13
65,dqn,28,greedy,25
66,dqn,53,greedy,21
67,dqn,25,greedy,14
68,dqn,33,greedy,25
69,dqn,57,greedy,23
70,dqn,39,greedy,25
71,dqn,50,greedy,26
72,dqn,40,greedy,14
73,dqn,53,greedy,24
74,dqn,32,greedy,22
75,dqn,24,greedy,27
76,dqn,29,greedy,25
77,dqn,50,greedy,25
78,dqn,44,greedy,21
79,dqn,29,greedy,19
80,dqn,46,greedy,13
81,dqn,36,greedy,25
82,dqn,34,greedy,29
83,dqn,51,greedy,14
84,dqn,25,greedy,24
85,dqn,42,greedy,17
86,dqn,53,greedy,14
87,dqn,27,greedy,26
88,dqn,49,greedy,19
89,dqn,41,greedy,22
90,dqn,41,greedy,25
91,dqn,25,greedy,22
92,dqn,38,greedy,22
93,dqn,53,greedy,20
94,dqn,50,greedy,15
95,dqn,52,greedy,19
96,dqn,50,greedy,21
97,dqn,46,greedy,29
98,dqn,42,greedy,23
99,dqn,57,greedy,18
100,dqn,49,greedy,20
