game_count,p1,p1_score,p2,p2_score
1,dqn,50,random,42
2,dqn,29,random,37
3,dqn,15,random,38
4,dqn,43,random,34
5,dqn,38,random,24
6,dqn,42,random,38
7,dqn,46,random,38
8,dqn,48,random,41
9,dqn,41,random,25
10,dqn,46,random,35
11,dqn,47,random,38
12,dqn,33,random,40
13,dqn,43,random,30
14,dqn,30,random,32
15,dqn,38,random,24
16,dqn,31,random,39
17,dqn,34,random,34
18,dqn,43,random,38
19,dqn,30,random,34
20,dqn,47,random,32
21,dqn,43,random,29
22,dqn,30,random,37
23,dqn,43,random,39
24,dqn,24,random,29
25,dqn,20,random,28
26,dqn,47,random,34
27,dqn,50,random,39
28,dqn,43,random,32
29,dqn,47,random,40
30,dqn,41,random,38
31,dqn,19,random,38
32,dqn,29,random,38
33,dqn,38,random,35
34,dqn,37,random,30
35,dqn,33,random,40
36,dqn,29,random,39
37,dqn,38,random,34
38,dqn,46,random,32
39,dqn,45,random,31
40,dqn,33,random,40
41,dqn,31,random,27
42,dqn,30,random,31
43,dqn,38,random,29
44,dqn,45,random,37
45,dqn,29,random,31
46,dqn,38,random,40
47,dqn,24,random,39
48,dqn,47,random,37
49,dqn,43,random,24
50,dqn,40,random,35
51,dqn,42,random,40
52,dqn,38,random,37
53,dqn,38,random,42
54,dqn,34,random,41
55,dqn,39,random,39
56,dqn,36,random,41
57,dqn,39,random,36
58,dqn,24,random,43
59,dqn,38,random,41
60,dqn,38,random,46
61,dqn,50,random,30
62,dqn,38,random,42
63,dqn,38,random,36
64,dqn,38,random,29
65,dqn,29,random,41
66,dqn,45,random,36
67,dqn,29,random,35
68,dqn,39,random,34
69,dqn,41,random,37
70,dqn,39,random,28
71,dqn,34,random,34
72,dqn,38,random,32
73,dqn,34,random,38
74,dqn,42,random,18
75,dqn,32,random,41
76,dqn,43,random,35
77,dqn,47,random,36
78,dqn,24,random,40
79,dqn,25,random,25
80,dqn,19,random,34
81,dqn,53,random,29
82,dqn,39,random,40
83,dqn,33,random,38
83,dqn,30,random,34
85,dqn,45,random,33
86,dqn,48,random,39
87,dqn,32,random,32
88,dqn,29,random,33
89,dqn,40,random,29
90,dqn,50,random,37
91,dqn,38,random,24
92,dqn,50,random,37
93,dqn,39,random,37
94,dqn,45,random,38
95,dqn,25,random,29
96,dqn,47,random,34
97,dqn,25,random,33
98,dqn,33,random,34
99,dqn,24,random,43
100,dqn,19,random,45
