game_count,p1,p1_score,p2,p2_score
1,mcts_dqn,46,mcts,13
2,mcts_dqn,14,mcts,28
3,mcts_dqn,23,mcts,28
4,mcts_dqn,19,mcts,33
5,mcts_dqn,15,mcts,14
6,mcts_dqn,23,mcts,43
7,mcts_dqn,42,mcts,28
8,mcts_dqn,17,mcts,45
9,mcts_dqn,18,mcts,17
10,mcts_dqn,29,mcts,37
11,mcts_dqn,37,mcts,26
12,mcts_dqn,19,mcts,22
13,mcts_dqn,43,mcts,18
14,mcts_dqn,25,mcts,43
15,mcts_dqn,42,mcts,29
16,mcts_dqn,27,mcts,26
17,mcts_dqn,44,mcts,19
18,mcts_dqn,10,mcts,52
19,mcts_dqn,25,mcts,35
20,mcts_dqn,14,mcts,29
21,mcts_dqn,18,mcts,20
22,mcts_dqn,19,mcts,23
23,mcts_dqn,19,mcts,37
24,mcts_dqn,18,mcts,24
25,mcts_dqn,29,mcts,32
26,mcts_dqn,37,mcts,19
27,mcts_dqn,14,mcts,25
28,mcts_dqn,15,mcts,46
29,mcts_dqn,24,mcts,38
30,mcts_dqn,15,mcts,38
