game_count,p1,p1_score,p2,p2_score
1,greedy,21,random,24
2,greedy,33,random,30
3,greedy,18,random,32
4,greedy,22,random,33
5,greedy,19,random,32
6,greedy,17,random,24
7,greedy,24,random,35
8,greedy,12,random,61
9,greedy,34,random,24
10,greedy,17,random,43
11,greedy,25,random,29
12,greedy,14,random,19
13,greedy,18,random,57
14,greedy,22,random,24
15,greedy,25,random,32
16,greedy,17,random,64
17,greedy,22,random,43
18,greedy,14,random,53
19,greedy,17,random,50
20,greedy,21,random,46
21,greedy,21,random,40
22,greedy,19,random,23
23,greedy,17,random,32
24,greedy,25,random,24
25,greedy,28,random,46
26,greedy,23,random,34
27,greedy,19,random,32
28,greedy,16,random,66
29,greedy,16,random,49
30,greedy,23,random,41
31,greedy,13,random,39
32,greedy,13,random,33
33,greedy,22,random,33
34,greedy,18,random,57
35,greedy,18,random,59
36,greedy,22,random,39
37,greedy,18,random,45
38,greedy,23,random,37
39,greedy,18,random,27
40,greedy,9,random,64
41,greedy,22,random,20
42,greedy,20,random,41
43,greedy,16,random,55
44,greedy,14,random,24
45,greedy,23,random,45
46,greedy,18,random,48
47,greedy,26,random,31
48,greedy,14,random,35
49,greedy,28,random,37
50,greedy,21,random,44
51,greedy,23,random,37
52,greedy,14,random,40
53,greedy,20,random,36
54,greedy,18,random,28
55,greedy,17,random,37
56,greedy,20,random,41
57,greedy,25,random,24
58,greedy,21,random,36
59,greedy,14,random,33
60,greedy,21,random,25
61,greedy,19,random,46
62,greedy,25,random,29
63,greedy,16,random,24
64,greedy,18,random,19
65,greedy,34,random,37
66,greedy,21,random,17
67,greedy,25,random,23
68,greedy,25,random,43
69,greedy,27,random,29
70,greedy,28,random,35
71,greedy,24,random,56
72,greedy,20,random,38
73,greedy,22,random,50
74,greedy,17,random,42
75,greedy,17,random,61
76,greedy,16,random,38
77,greedy,20,random,25
78,greedy,25,random,40
79,greedy,18,random,41
80,greedy,22,random,23
81,greedy,21,random,57
82,greedy,32,random,36
83,greedy,24,random,24
84,greedy,32,random,41
85,greedy,22,random,31
86,greedy,22,random,23
87,greedy,19,random,27
88,greedy,18,random,51
89,greedy,24,random,24
90,greedy,19,random,25
91,greedy,16,random,43
92,greedy,17,random,47
93,greedy,25,random,38
94,greedy,22,random,29
95,greedy,18,random,33
96,greedy,26,random,34
97,greedy,21,random,34
98,greedy,21,random,34
99,greedy,21,random,34
100,greedy,26,random,18
101,greedy,19,random,36
102,greedy,19,random,45
103,greedy,28,random,28
104,greedy,21,random,33
105,greedy,17,random,41
106,greedy,24,random,28
107,greedy,15,random,33
108,greedy,25,random,42
109,greedy,18,random,55
110,greedy,14,random,56
111,greedy,17,random,40
112,greedy,21,random,33
113,greedy,30,random,49
114,greedy,30,random,29
115,greedy,16,random,56
116,greedy,25,random,45
117,greedy,13,random,54
118,greedy,17,random,37
119,greedy,20,random,26
120,greedy,26,random,29
121,greedy,19,random,34
122,greedy,28,random,38
123,greedy,33,random,37
124,greedy,18,random,55
125,greedy,17,random,28
126,greedy,16,random,36
127,greedy,34,random,22
128,greedy,23,random,19
129,greedy,17,random,17
130,greedy,11,random,58
131,greedy,17,random,34
132,greedy,21,random,54
133,greedy,20,random,38
134,greedy,14,random,19
135,greedy,28,random,28
136,greedy,16,random,55
137,greedy,17,random,38
138,greedy,17,random,63
139,greedy,12,random,45
140,greedy,13,random,42
141,greedy,23,random,45
142,greedy,21,random,59
143,greedy,18,random,28
144,greedy,14,random,19
145,greedy,20,random,50
146,greedy,28,random,51
147,greedy,22,random,51
148,greedy,26,random,49
149,greedy,18,random,47
150,greedy,19,random,28
151,greedy,18,random,55
152,greedy,9,random,37
153,greedy,29,random,52
154,greedy,18,random,38
155,greedy,16,random,56
156,greedy,18,random,42
157,greedy,16,random,39
158,greedy,22,random,24
159,greedy,26,random,21
160,greedy,16,random,34
161,greedy,21,random,33
162,greedy,25,random,42
163,greedy,13,random,39
164,greedy,25,random,43
165,greedy,21,random,59
166,greedy,7,random,57
167,greedy,18,random,48
168,greedy,15,random,64
169,greedy,25,random,24
170,greedy,25,random,39
171,greedy,12,random,44
172,greedy,13,random,56
173,greedy,23,random,40
174,greedy,26,random,46
175,greedy,20,random,43
176,greedy,20,random,28
177,greedy,25,random,19
178,greedy,26,random,47
179,greedy,9,random,49
180,greedy,16,random,53
181,greedy,13,random,43
182,greedy,26,random,22
183,greedy,18,random,19
184,greedy,9,random,49
185,greedy,13,random,55
186,greedy,19,random,19
187,greedy,35,random,28
188,greedy,21,random,51
189,greedy,18,random,29
190,greedy,15,random,51
191,greedy,24,random,52
192,greedy,20,random,55
193,greedy,22,random,42
194,greedy,16,random,33
195,greedy,17,random,57
196,greedy,20,random,54
197,greedy,28,random,27
198,greedy,21,random,34
199,greedy,22,random,34
200,greedy,23,random,32
201,greedy,14,random,27
202,greedy,18,random,29
203,greedy,22,random,37
204,greedy,20,random,33
