game_count,p1,p1_score,p2,p2_score
8,mcts,20,greedy,31
1,mcts,29,greedy,26
9,mcts,18,greedy,35
2,mcts,9,greedy,41
10,mcts,10,greedy,32
3,mcts,12,greedy,28
11,mcts,19,greedy,27
4,mcts,16,greedy,26
12,mcts,22,greedy,39
5,mcts,15,greedy,34
13,mcts,19,greedy,40
6,mcts,10,greedy,27
14,mcts,23,greedy,29
7,mcts,27,greedy,33
15,mcts,10,greedy,35
8,mcts,15,greedy,35
16,mcts,15,greedy,25
9,mcts,13,greedy,30
17,mcts,49,greedy,25
10,mcts,14,greedy,24
18,mcts,19,greedy,37
11,mcts,26,greedy,31
19,mcts,31,greedy,21
12,mcts,13,greedy,29
20,mcts,20,greedy,27
13,mcts,23,greedy,37
21,mcts,12,greedy,21
14,mcts,19,greedy,30
22,mcts,22,greedy,36
15,mcts,17,greedy,26
23,mcts,19,greedy,22
16,mcts,15,greedy,27
24,mcts,32,greedy,28
17,mcts,32,greedy,14
25,mcts,14,greedy,27
18,mcts,22,greedy,29
26,mcts,19,greedy,16
19,mcts,18,greedy,22
27,mcts,17,greedy,34
20,mcts,27,greedy,26
28,mcts,18,greedy,23
21,mcts,17,greedy,34
22,mcts,51,greedy,29
29,mcts,15,greedy,32
23,mcts,34,greedy,23
30,mcts,24,greedy,28
24,mcts,19,greedy,27
31,mcts,20,greedy,37
25,mcts,15,greedy,28
32,mcts,51,greedy,9
33,mcts,47,greedy,22
26,mcts,13,greedy,17
34,mcts,21,greedy,38
27,mcts,10,greedy,44
35,mcts,14,greedy,26
28,mcts,36,greedy,25
36,mcts,19,greedy,25
29,mcts,18,greedy,31
37,mcts,19,greedy,28
30,mcts,19,greedy,42
31,mcts,28,greedy,27
38,mcts,14,greedy,26
39,mcts,31,greedy,34
32,mcts,10,greedy,39
40,mcts,18,greedy,31
33,mcts,9,greedy,34
41,mcts,36,greedy,36
34,mcts,23,greedy,20
42,mcts,8,greedy,33
35,mcts,14,greedy,37
43,mcts,14,greedy,25
36,mcts,9,greedy,32
37,mcts,50,greedy,22
44,mcts,15,greedy,23
