game_count,p1,p1_score,p2,p2_score
1,mcts,10,greedy,22
2,mcts,22,greedy,23
3,mcts,23,greedy,22
4,mcts,24,greedy,22
5,mcts,18,greedy,22
6,mcts,14,greedy,34
7,mcts,14,greedy,25
8,mcts,27,greedy,14
9,mcts,43,greedy,19
10,mcts,29,greedy,33
11,mcts,17,greedy,28
12,mcts,11,greedy,30
13,mcts,28,greedy,29
14,mcts,23,greedy,33
15,mcts,43,greedy,24
16,mcts,35,greedy,20
17,mcts,18,greedy,32
18,mcts,20,greedy,28
19,mcts,22,greedy,20
20,mcts,28,greedy,14
21,mcts,27,greedy,16
22,mcts,20,greedy,27
23,mcts,27,greedy,25
24,mcts,30,greedy,18
25,mcts,10,greedy,27
26,mcts,18,greedy,26
27,mcts,24,greedy,35
28,mcts,28,greedy,24
29,mcts,38,greedy,21
30,mcts,32,greedy,26
31,mcts,19,greedy,42
32,mcts,42,greedy,27
33,mcts,16,greedy,18
34,mcts,20,greedy,21
35,mcts,24,greedy,18
36,mcts,51,greedy,19
37,mcts,14,greedy,22
38,mcts,20,greedy,28
39,mcts,14,greedy,33
40,mcts,10,greedy,28
41,mcts,20,greedy,33
42,mcts,23,greedy,16
43,mcts,13,greedy,17
44,mcts,29,greedy,25
45,mcts,23,greedy,25
46,mcts,36,greedy,18
47,mcts,19,greedy,27
48,mcts,19,greedy,31
49,mcts,13,greedy,34
50,mcts,24,greedy,22
51,mcts,13,greedy,33
52,mcts,19,greedy,18
53,mcts,42,greedy,21
54,mcts,30,greedy,43
55,mcts,36,greedy,27
56,mcts,56,greedy,25
57,mcts,26,greedy,25
58,mcts,15,greedy,28
59,mcts,23,greedy,26
60,mcts,13,greedy,23
61,mcts,13,greedy,27
62,mcts,32,greedy,30
63,mcts,23,greedy,30
64,mcts,26,greedy,30
65,mcts,14,greedy,28
66,mcts,33,greedy,32
67,mcts,47,greedy,22
68,mcts,13,greedy,41
69,mcts,28,greedy,19
70,mcts,19,greedy,47
71,mcts,19,greedy,29
72,mcts,18,greedy,32
73,mcts,28,greedy,32
74,mcts,59,greedy,22
75,mcts,19,greedy,26
76,mcts,27,greedy,24
77,mcts,23,greedy,37
78,mcts,47,greedy,26
79,mcts,29,greedy,25
80,mcts,23,greedy,22
81,mcts,10,greedy,31
82,mcts,20,greedy,21
83,mcts,19,greedy,30
84,mcts,32,greedy,28
85,mcts,24,greedy,35
86,mcts,41,greedy,21
87,mcts,28,greedy,22
88,mcts,24,greedy,32
89,mcts,22,greedy,22
90,mcts,28,greedy,21
91,mcts,28,greedy,32
92,mcts,20,greedy,24
93,mcts,24,greedy,28
94,mcts,27,greedy,22
95,mcts,19,greedy,31
96,mcts,28,greedy,32
97,mcts,37,greedy,19
98,mcts,14,greedy,30
99,mcts,23,greedy,19
100,mcts,18,greedy,28
101,mcts,17,greedy,25
102,mcts,15,greedy,25
103,mcts,26,greedy,33
104,mcts,36,greedy,14
105,mcts,18,greedy,32
106,mcts,15,greedy,33
107,mcts,20,greedy,22
108,mcts,15,greedy,25
109,mcts,18,greedy,23
110,mcts,19,greedy,36
111,mcts,24,greedy,17
112,mcts,18,greedy,32
113,mcts,19,greedy,28
114,mcts,39,greedy,29
115,mcts,19,greedy,29
116,mcts,17,greedy,22
117,mcts,24,greedy,22
118,mcts,23,greedy,27
119,mcts,47,greedy,22
120,mcts,23,greedy,28
121,mcts,20,greedy,25
122,mcts,19,greedy,33
123,mcts,25,greedy,25
124,mcts,23,greedy,37
125,mcts,13,greedy,25
126,mcts,45,greedy,17
127,mcts,45,greedy,36
128,mcts,14,greedy,34
129,mcts,19,greedy,30
130,mcts,28,greedy,23
131,mcts,13,greedy,21
132,mcts,24,greedy,28
133,mcts,25,greedy,37
134,mcts,33,greedy,17
135,mcts,20,greedy,28
136,mcts,32,greedy,29
137,mcts,19,greedy,20
138,mcts,37,greedy,26
139,mcts,14,greedy,22
140,mcts,19,greedy,31
141,mcts,10,greedy,33
142,mcts,17,greedy,14
143,mcts,30,greedy,26
144,mcts,14,greedy,26
145,mcts,21,greedy,20
146,mcts,29,greedy,31
147,mcts,23,greedy,22
148,mcts,25,greedy,32
149,mcts,48,greedy,19
150,mcts,48,greedy,18
151,mcts,29,greedy,27
152,mcts,42,greedy,25
153,mcts,23,greedy,27
154,mcts,23,greedy,33
155,mcts,25,greedy,31
156,mcts,23,greedy,27
157,mcts,24,greedy,20
158,mcts,23,greedy,32
159,mcts,22,greedy,24
160,mcts,24,greedy,27
161,mcts,15,greedy,17
162,mcts,24,greedy,25
163,mcts,34,greedy,24
164,mcts,19,greedy,26
165,mcts,18,greedy,33
166,mcts,22,greedy,27
167,mcts,18,greedy,20
168,mcts,22,greedy,36
169,mcts,18,greedy,33
170,mcts,8,greedy,28
171,mcts,37,greedy,18
172,mcts,12,greedy,17
173,mcts,17,greedy,30
174,mcts,18,greedy,26
175,mcts,27,greedy,27
176,mcts,18,greedy,26
177,mcts,18,greedy,21
178,mcts,13,greedy,25
179,mcts,24,greedy,32
180,mcts,37,greedy,32
181,mcts,18,greedy,27
182,mcts,23,greedy,32
183,mcts,19,greedy,29
184,mcts,20,greedy,22
185,mcts,27,greedy,20
186,mcts,19,greedy,28
187,mcts,22,greedy,32
188,mcts,23,greedy,25
189,mcts,28,greedy,40
190,mcts,55,greedy,23
191,mcts,53,greedy,22
192,mcts,24,greedy,32
193,mcts,19,greedy,21
194,mcts,48,greedy,16
195,mcts,28,greedy,16
196,mcts,23,greedy,18
197,mcts,28,greedy,17
198,mcts,13,greedy,38
199,mcts,23,greedy,26
200,mcts,26,greedy,27
201,mcts,14,greedy,30
202,mcts,23,greedy,26
203,mcts,27,greedy,23
204,mcts,32,greedy,29
205,mcts,24,greedy,24
206,mcts,26,greedy,22
207,mcts,26,greedy,26
208,mcts,16,greedy,19
209,mcts,36,greedy,24
210,mcts,15,greedy,29
211,mcts,28,greedy,17
212,mcts,29,greedy,24
213,mcts,18,greedy,18
214,mcts,45,greedy,18
215,mcts,23,greedy,25
216,mcts,19,greedy,28
217,mcts,24,greedy,19
218,mcts,28,greedy,23
219,mcts,15,greedy,14
220,mcts,13,greedy,33
221,mcts,22,greedy,25
222,mcts,16,greedy,27
223,mcts,54,greedy,18
224,mcts,15,greedy,27
225,mcts,19,greedy,23
226,mcts,23,greedy,23
227,mcts,22,greedy,29
228,mcts,13,greedy,26
229,mcts,20,greedy,31
230,mcts,20,greedy,36
231,mcts,14,greedy,34
232,mcts,51,greedy,23
233,mcts,18,greedy,32
234,mcts,23,greedy,25
235,mcts,31,greedy,40
236,mcts,22,greedy,26
237,mcts,10,greedy,26
238,mcts,24,greedy,20
239,mcts,12,greedy,22
240,mcts,29,greedy,28
241,mcts,41,greedy,25
242,mcts,25,greedy,21
243,mcts,52,greedy,14
244,mcts,15,greedy,28
245,mcts,35,greedy,32
246,mcts,29,greedy,23
247,mcts,10,greedy,27
248,mcts,9,greedy,32
249,mcts,32,greedy,21
250,mcts,51,greedy,25
251,mcts,29,greedy,34
252,mcts,26,greedy,21
253,mcts,56,greedy,13
254,mcts,34,greedy,30
255,mcts,17,greedy,44
256,mcts,19,greedy,34
257,mcts,45,greedy,25
258,mcts,25,greedy,25
259,mcts,51,greedy,17
260,mcts,10,greedy,27
261,mcts,14,greedy,25
262,mcts,19,greedy,28
263,mcts,30,greedy,32
264,mcts,17,greedy,26
265,mcts,27,greedy,25
266,mcts,29,greedy,24
267,mcts,41,greedy,25
268,mcts,46,greedy,31
269,mcts,33,greedy,22
270,mcts,18,greedy,29
271,mcts,33,greedy,33
272,mcts,23,greedy,23
273,mcts,19,greedy,26
274,mcts,37,greedy,35
275,mcts,27,greedy,31
276,mcts,23,greedy,28
277,mcts,42,greedy,25
278,mcts,54,greedy,18
279,mcts,42,greedy,18
280,mcts,8,greedy,35
281,mcts,23,greedy,20
282,mcts,18,greedy,23
283,mcts,29,greedy,27
284,mcts,19,greedy,28
285,mcts,19,greedy,28
286,mcts,22,greedy,12
287,mcts,15,greedy,24
288,mcts,45,greedy,29
289,mcts,21,greedy,29
290,mcts,25,greedy,23
291,mcts,14,greedy,25
292,mcts,45,greedy,28
293,mcts,14,greedy,32
294,mcts,23,greedy,20
295,mcts,24,greedy,21
296,mcts,14,greedy,21
297,mcts,10,greedy,32
298,mcts,25,greedy,30
299,mcts,18,greedy,40
300,mcts,27,greedy,26
301,mcts,10,greedy,31
302,mcts,23,greedy,23
303,mcts,23,greedy,37
304,mcts,31,greedy,25
305,mcts,14,greedy,35
306,mcts,25,greedy,31
307,mcts,29,greedy,34
308,mcts,29,greedy,26
309,mcts,41,greedy,31
310,mcts,10,greedy,63
311,mcts,18,greedy,29
312,mcts,32,greedy,21
313,mcts,18,greedy,31
314,mcts,24,greedy,47
315,mcts,26,greedy,20
316,mcts,35,greedy,26
317,mcts,13,greedy,31
318,mcts,14,greedy,36
319,mcts,18,greedy,27
320,mcts,27,greedy,21
321,mcts,36,greedy,20
322,mcts,19,greedy,25
323,mcts,30,greedy,23
324,mcts,18,greedy,16
325,mcts,23,greedy,24
326,mcts,40,greedy,23
327,mcts,19,greedy,25
328,mcts,17,greedy,27
329,mcts,19,greedy,30
330,mcts,44,greedy,18
331,mcts,29,greedy,25
332,mcts,21,greedy,18
333,mcts,17,greedy,29
334,mcts,22,greedy,32
335,mcts,13,greedy,29
336,mcts,28,greedy,18
337,mcts,10,greedy,28
338,mcts,61,greedy,18
339,mcts,19,greedy,41
340,mcts,18,greedy,36
341,mcts,20,greedy,32
342,mcts,51,greedy,14
343,mcts,20,greedy,26
344,mcts,11,greedy,27
345,mcts,20,greedy,21
346,mcts,41,greedy,17
347,mcts,39,greedy,18
348,mcts,51,greedy,13
349,mcts,27,greedy,25
350,mcts,18,greedy,16
351,mcts,19,greedy,25
352,mcts,22,greedy,25
353,mcts,23,greedy,37
354,mcts,13,greedy,29
355,mcts,18,greedy,27
356,mcts,24,greedy,38
357,mcts,33,greedy,34
358,mcts,24,greedy,24
359,mcts,37,greedy,21
360,mcts,15,greedy,28
361,mcts,37,greedy,17
362,mcts,38,greedy,15
363,mcts,52,greedy,25
364,mcts,24,greedy,29
365,mcts,36,greedy,26
366,mcts,29,greedy,32
367,mcts,27,greedy,47
368,mcts,22,greedy,21
369,mcts,23,greedy,20
370,mcts,31,greedy,26
371,mcts,29,greedy,26
372,mcts,23,greedy,24
373,mcts,18,greedy,22
374,mcts,36,greedy,25
375,mcts,24,greedy,18
376,mcts,33,greedy,20
377,mcts,19,greedy,34
378,mcts,24,greedy,22
379,mcts,23,greedy,28
380,mcts,24,greedy,29
381,mcts,37,greedy,26
382,mcts,18,greedy,14
383,mcts,19,greedy,35
384,mcts,19,greedy,19
385,mcts,23,greedy,34
386,mcts,32,greedy,13
387,mcts,28,greedy,9
388,mcts,10,greedy,23
389,mcts,23,greedy,22
390,mcts,14,greedy,26
391,mcts,23,greedy,24
392,mcts,4,greedy,34
393,mcts,43,greedy,23
394,mcts,29,greedy,23
395,mcts,38,greedy,23
396,mcts,24,greedy,29
397,mcts,14,greedy,28
398,mcts,28,greedy,23
399,mcts,23,greedy,22
400,mcts,47,greedy,16
401,mcts,28,greedy,16
402,mcts,20,greedy,26
403,mcts,23,greedy,20
404,mcts,25,greedy,26
405,mcts,15,greedy,39
406,mcts,10,greedy,31
407,mcts,9,greedy,33
408,mcts,14,greedy,26
409,mcts,19,greedy,34
410,mcts,28,greedy,18
411,mcts,28,greedy,24
412,mcts,24,greedy,14
413,mcts,28,greedy,26
414,mcts,37,greedy,31
415,mcts,36,greedy,30
416,mcts,29,greedy,34
417,mcts,14,greedy,33
418,mcts,22,greedy,29
419,mcts,15,greedy,26
420,mcts,20,greedy,32
421,mcts,47,greedy,22
422,mcts,52,greedy,26
423,mcts,24,greedy,37
424,mcts,22,greedy,25
425,mcts,17,greedy,26
426,mcts,26,greedy,22
427,mcts,19,greedy,22
428,mcts,42,greedy,23
429,mcts,24,greedy,24
430,mcts,23,greedy,32
431,mcts,20,greedy,38
432,mcts,18,greedy,30
433,mcts,32,greedy,23
434,mcts,47,greedy,26
435,mcts,14,greedy,36
436,mcts,28,greedy,25
437,mcts,29,greedy,31
438,mcts,29,greedy,23
439,mcts,22,greedy,26
440,mcts,18,greedy,27
441,mcts,18,greedy,26
442,mcts,23,greedy,25
443,mcts,18,greedy,29
444,mcts,18,greedy,31
445,mcts,52,greedy,27
446,mcts,41,greedy,29
